,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.8393,0.0,0.1607,0.0,0.0
true_pipe_2,0.0238,0.6845,0.2381,0.0,0.0536
true_pipe_3,0.0238,0.0,0.2976,0.0,0.6786
true_pipe_4,0.0,0.0,0.0298,0.9702,0.0
true_pipe_5,0.0119,0.0,0.131,0.0,0.8571
