pipe_id,n_matched,mae,rmse,r2
1,141,0.137713,0.167239,0.436145
2,115,0.198018,0.240442,-0.164503
3,50,0.182232,0.210347,0.024906
4,163,0.156786,0.184948,0.312091
5,144,0.200067,0.229828,-0.056416
