pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,120,6,48,0.9524,0.7143,0.8163,168,126
2,159,13,9,0.9244,0.9464,0.9353,168,172
3,165,53,3,0.7569,0.9821,0.8549,168,218
4,166,9,2,0.9486,0.9881,0.9679,168,175
5,168,1,0,0.9941,1.0,0.997,168,169
