pipe_id,n_matched,mae,rmse,r2
1,120,0.180059,0.224785,-0.010569
2,159,0.146411,0.192697,0.253121
3,165,0.158498,0.188604,0.291956
4,166,0.187316,0.218684,0.043436
5,168,0.163992,0.200975,0.192181
