pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,142,16,26,0.8987,0.8452,0.8712,168,158
2,87,5,81,0.9457,0.5179,0.6692,168,92
3,95,120,73,0.4419,0.5655,0.4961,168,215
4,152,68,16,0.6909,0.9048,0.7835,168,220
5,168,8,0,0.9545,1.0,0.9767,168,176
