,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.8452,0.0,0.1548,0.0,0.0
true_pipe_2,0.0238,0.5179,0.4464,0.0,0.0119
true_pipe_3,0.0238,0.0298,0.5655,0.381,0.0
true_pipe_4,0.0238,0.0,0.0714,0.9048,0.0
true_pipe_5,0.0,0.0,0.0,0.0,1.0
