pipe_id,n_matched,mae,rmse,r2
1,142,0.123491,0.16227,0.473284
2,87,0.163724,0.189263,0.138519
3,95,0.1978,0.222665,-0.104725
4,152,0.199569,0.226502,-0.026061
5,168,0.127523,0.15485,0.52043
