pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,135,11,33,0.9247,0.8036,0.8599,168,146
2,144,3,24,0.9796,0.8571,0.9143,168,147
3,91,4,77,0.9579,0.5417,0.692,168,95
4,165,140,3,0.541,0.9821,0.6977,168,305
5,166,1,2,0.994,0.9881,0.991,168,167
