pipe_id,n_matched,mae,rmse,r2
1,135,0.114671,0.146226,0.569769
2,144,0.163404,0.194787,0.240896
3,91,0.171845,0.197134,0.131728
4,165,0.193763,0.227321,-0.038912
5,166,0.145734,0.181377,0.341969
